"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
132,"058083  00025","1534 HARVILLE ST, Memphis, TN",-89.933553,35.089641,"census","1534 HARVILLE ST, MEMPHIS, TN, 38111",1,-89.933696,35.089468,23.2,TRUE,TRUE,"38111","38111","4","4","","",""
133,"058018  00132","1678 S PRESCOTT ST, Memphis, TN",-89.951108,35.085771,"census","1678 S PRESCOTT ST, MEMPHIS, TN, 38111",1,-89.951213,35.085989,26,TRUE,TRUE,"38111","38111","4","4","","",""
134,"044066  00014","3619 OAKLEY AV, Memphis, TN",-89.940857,35.136225,"census","3619 OAKLEY AVE, MEMPHIS, TN, 38111",1,-89.939724,35.136309,103.6,TRUE,TRUE,"38111","38111","5","5","over 100 m","",""
135,"002086 B00066","200 W GEORGIA AV, Memphis, TN",-90.068346,35.129727,"census","200 E GEORGIA AVE, MEMPHIS, TN, 38126",1,-90.054685,35.129226,1246.4,FALSE,FALSE,"38103","38126","6","6","different area","",""
136,"070012  00017","1214 CANFIELD AV, Memphis, TN",-90.023418,35.213778,"census","1214 CANFIELD AVE, MEMPHIS, TN, 38127",1,-90.022838,35.213635,55.2,TRUE,TRUE,"38127","38127","7","7","","",""
137,"069077 F00138","1282 FLEETS HARBOR DR, Memphis, TN",-90.051143,35.174889,"census","1282 FLEETS HARBOR DR, MEMPHIS, TN, 38103",1,-90.051257,35.174894,10.4,TRUE,TRUE,"38103","38103","7","7","","",""
138,"060216  00005","3161 EDGEWARE RD S, Memphis, TN",-89.958416,35.050653,"census","3161 S EDGEWARE RD, MEMPHIS, TN, 38118",1,-89.958351,35.0508,17.3,TRUE,TRUE,"38118","38118","3","3","","",""
139,"015001  00076","1234 HWY 78, Memphis, TN",-90.0207,35.128962,"nominatim (census no_match)","Old US Highway 78, Memphis, Shelby County, West Tennessee, Tennessee, 38118, United States",0,-89.877024,34.997963,19570.5,FALSE,FALSE,"38104","38118","6","3","different area","",""
140,"037017  00011","2871 NATHAN AV, Memphis, TN",-89.96531,35.143659,"census","2871 NATHAN AVE, MEMPHIS, TN, 38112",1,-89.966205,35.143814,83.4,TRUE,TRUE,"38112","38112","5","5","","",""
141,"001058  00011","622 N MAIN, Memphis, TN",-90.046022,35.16147,"census","622 N MAIN ST, MEMPHIS, TN, 38107",1,-90.046252,35.161391,22.7,TRUE,TRUE,"38107","38107","7","7","","",""
